Name	MOA	Target	Disease Area	Indication	Phase
(R)-(-)-apomorphine	dopamine receptor agonist	ADRA2A, ADRA2B, ADRA2C, CALY, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR5A	neurology/psychiatry	Parkinson's Disease	Launched
(R)-(-)-rolipram	phosphodiesterase inhibitor	PDE4A, PDE4B, PDE4C, PDE4D, PDE5A			Phase 1
(R)-baclofen	benzodiazepine receptor agonist	GABBR1, GABBR2			Phase 3
(S)-(+)-rolipram	phosphodiesterase inhibitor	PDE4B, PDE4D			Phase 1
[sar9,met(o2)11]-substance-p	tachykinin antagonist	TACR1			Preclinical
A-1070722	glycogen synthase kinase inhibitor	GSK3A, GSK3B			Preclinical
A-1120	retinoid receptor ligand	RBP4			Preclinical
A-317491	purinergic receptor antagonist	P2RX3			Preclinical
A-33903					Phase 2
A-366	histone lysine methyltransferase inhibitor	EHMT1, EHMT2			Preclinical
A-381393	dopamine receptor antagonist				Preclinical
A-412997	dopamine receptor agonist	DRD4			Preclinical
A-438079	purinergic receptor antagonist	P2RX7			Preclinical
A-485	histone acetyltransferase inhibitor				Preclinical
A-582941	nicotinic receptor agonist	CHRNA7			Preclinical
A-61603	adrenergic receptor agonist	ADRA1A, ADRA1B, ADRA1D			Preclinical
A-674563	AKT inhibitor	AKT1, PKIA, PRKACA			Preclinical
A-7	calmodulin antagonist				Preclinical
A-769662	AMPK activator				Preclinical
A-784168	transient receptor potential channel antagonist	TRPV1			Preclinical
A-803467	sodium channel blocker	SCN10A			Preclinical
A-804598	purinergic receptor antagonist	P2RX7			Preclinical
A-839977	purinergic receptor antagonist	P2RX7			Preclinical
A-867744	acetylcholine receptor allosteric modulator	CHRNA3, CHRNA4, CHRNA7			Preclinical
A-887826	sodium channel blocker	SCN10A			Preclinical
A-922500	diacylglycerol O acyltransferase inhibitor	DGAT1			Preclinical
A-939572	stearoyl-CoA desaturase inhibitor	SCD			Preclinical
A-967079	transient receptor potential channel antagonist	TRPA1			Preclinical
A-987306	histamine receptor antagonist	ADORA1, AVPR1A, CCR1, CHRM1, CHRM2, CHRM3, CHRM4, DRD3, HTR1A, HTR1B, HTR2A, HTR2B, HTR3A, TACR2			Preclinical
AA-29504	GABA receptor positive allosteric modulator	GABRA1, GABRA4, GABRB3			Preclinical
AAI101	lactamase inhibitor				Phase 3
AB-423	HBV capsid assembly inhibitor				Preclinical
abacavir	nucleoside reverse transcriptase inhibitor		infectious disease	human immunodeficiency virus (HIV-1)	Launched
abafungin	sterol methyltransferase inhibitor				Phase 3
abamectin	benzodiazepine receptor agonist	GABBR1, GABBR2	infectious disease	gastrointestinal parasites	Launched
abametapir	metalloproteinase inhibitor	MMP9			Phase 3
abarelix	gonadotropin releasing factor hormone receptor antagonist	GNRHR			Phase 3
ABBV-744	bromodomain inhibitor				Phase 1
ABC-294640	sphingosine kinase inhibitor	SPHK2			Phase 2
abemaciclib	CDK inhibitor	CDK4, CDK6	oncology	breast cancer	Launched
abiraterone	androgen biosynthesis inhibitor	CYP11B1, CYP17A1	oncology	prostate cancer	Launched
abiraterone-acetate	androgen biosynthesis inhibitor	CYP17A1	oncology	prostate cancer	Launched
ABT-072	RNA polymerase inhibitor				Phase 2
ABT-202	acetylcholine receptor agonist				Phase 1
ABT-239	histamine receptor antagonist	HRH1, HRH2, HRH3			Phase 1
ABT-491	platelet activating factor receptor antagonist	PTAFR			Phase 1
ABT-639	calcium channel blocker	CACNA1G, CACNA1H, CACNA1I			Phase 2
ABT-702	adenosine kinase inhibitor	ADK			Preclinical
ABT-724	dopamine receptor agonist	DRD4			Phase 2
ABT-737	BCL inhibitor	BCL2, BCL2L1, BCL2L2			Phase 1/Phase 2
ABT-751	tubulin polymerization inhibitor	TUBB			Phase 2
ABX-1431	monoacylglycerol lipase inhibitor				Phase 2
ABX464	antiviral				Phase 2
AC-186	estrogen receptor agonist	ESR2			Preclinical
AC-261066	retinoid receptor agonist	RARB			Preclinical
AC-264613	PAR agonist	F2RL1			Preclinical
AC-55541	PARP inhibitor	PARP2			Preclinical
AC-55649	retinoid receptor agonist	RARA, RARB			Preclinical
AC-710	PDGFR tyrosine kinase receptor inhibitor	CSF1R, FLT3, KIT, PDGFRA, PDGFRB			Preclinical
AC-7954-(+/-)	urotensin receptor agonist	UTS2R			Preclinical
acadesine	AMPK activator				Phase 3
acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitor	BTK	hematologic malignancy	mantle cell lymphoma (MCL)	Launched
acalisib	PI3K inhibitor	PIK3CB, PIK3CD			Phase 1
